Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Corsi (EV),Corsi (EV),Corsi (EV),Corsi (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),Fenwick (EV),PDO (),PDO (),,Zone Starts (EV),Zone Starts (EV),,,,,,,
,Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
,801,Mikhail Vorobyev\vorobmi01,23,PHI,C,20,103,133,43.6,-8.6,77,101,43.3,-9.0,14.8,86.1,100.9,51.6,48.4,10:26,9:44,5,4,-4.2,28,53.6
,802,Jakub Vrana\vranaja01,23,WSH,LW,48,520,471,52.5,0.3,393,344,53.3,1.3,14.3,89.3,103.6,50.1,49.9,14:52,12:60,25,29,7.1,231,58.4
,803,Austin Wagner\wagneau01,22,LAK,LW,45,455,341,57.2,4.4,349,248,58.5,6.2,4.9,91.5,96.4,52.8,47.2,12:02,11:52,14,15,6.1,149,62.4
,804,Chris Wagner\wagnech01,28,BOS,C,47,328,396,45.3,-5.7,261,285,47.8,-2.4,7.8,87.3,95.1,30.4,69.6,12:45,11:07,11,15,-0.5,94,57.4
,805,Oliver Wahlstrom\wahlsol01,19,NYI,RW,9,56,67,45.5,0.2,41,44,48.2,1.4,7.1,90.3,97.5,54.3,45.7,10:17,9:21,1,5,0.6,16,56.3
,806,Nathan Walker\walkena01,25,STL,C,5,54,44,55.1,10.1,35,37,48.6,4.0,7.4,86.7,94.1,54.5,45.5,11:08,11:06,0,1,-0.8,10,60.0
,807,Sean Walker\walkese01,25,LAK,D,49,775,607,56.1,3.7,569,454,55.6,3.1,9.8,87.9,97.7,49.7,50.3,19:10,17:05,19,51,0.3,197,47.2
,808,Lucas Wallmark\wallmlu01,24,CAR,C,48,423,384,52.4,-2.7,307,276,52.7,-1.8,8.5,88.9,97.4,47.1,52.9,13:06,10:49,18,11,0.5,116,59.5
,809,Jake Walman\walmaja01,23,STL,D,1,8,8,50.0,9.5,4,6,40.0,-1.9,33.3,100.0,133.3,71.4,28.6,11:04,11:04,0,0,0.2,1,100.0
,810,Austin Watson\watsoau01,28,NSH,LW,40,277,355,43.8,-10.4,208,251,45.3,-8.7,12.8,85.5,98.3,29.2,70.8,11:59,10:22,16,18,-3.6,74,58.1
,811,Jordan Weal\wealjo01,27,MTL,C,38,363,323,52.9,-2.1,264,238,52.6,-1.8,4.9,90.7,95.6,45.2,54.8,13:21,11:09,19,10,0.9,92,68.5
,812,Shea Weber\webersh01,34,MTL,D,49,931,750,55.4,1.7,700,556,55.7,2.5,9.8,89.5,99.3,49.1,50.9,24:24,18:38,11,62,8.9,300,48.3
,813,Yannick Weber\weberya01,31,NSH,D,27,270,317,46.0,-5.9,205,238,46.3,-5.8,10.0,94.0,104.0,46.8,53.2,13:33,13:07,7,6,-1.9,59,50.8
,814,Anton Wedin\wedinan01,26,CHI,F,4,16,21,43.2,-9.0,12,14,46.2,-6.6,14.3,100.0,114.3,9.1,90.9,9:04,8:58,1,0,-0.2,3,66.7
,815,MacKenzie Weegar\weegama01,26,FLA,D,28,348,320,52.1,2.8,272,233,53.9,4.2,12.3,86.4,98.7,47.8,52.2,19:36,17:01,18,27,2.7,70,65.7
,816,Dale Weise\weiseda01,31,MTL,RW,8,57,52,52.3,-1.5,45,39,53.6,2.0,3.0,88.9,91.9,47.7,52.3,9:22,8:59,1,1,-0.1,7,57.1
,817,Alexander Wennberg\wennbal01,25,CBJ,C,47,431,440,49.5,2.0,329,310,51.5,2.0,7.5,89.4,97.0,47.1,52.9,16:36,12:30,15,21,-0.2,88,65.9
,818,Zach Werenski\werenza01,22,CBJ,D,41,563,609,48.0,0.7,417,428,49.3,-0.2,12.5,89.4,101.9,59.4,40.6,23:27,17:60,19,32,-1.9,209,53.1
,819,Blake Wheeler\wheelbl01,33,WPG,RW,48,571,551,50.9,3.4,425,417,50.5,4.2,11.2,86.4,97.6,59.1,40.9,19:11,15:01,29,29,-2.5,210,57.6
,820,Colin White\whiteco02,23,OTT,C,40,403,463,46.5,-0.5,294,355,45.3,-2.8,7.7,90.0,97.7,55.3,44.7,16:06,13:41,17,21,0.5,91,59.3
,821,Colin Wilson\wilsoco01,30,COL,C,9,89,74,54.6,7.2,64,52,55.2,8.5,13.7,100.0,113.7,27.5,72.5,12:37,10:16,1,3,1.3,20,60.0
,822,Scott Wilson\wilsosc01,27,BUF,C/LW,2,10,16,38.5,-0.3,8,14,36.4,-1.4,0.0,90.0,90.0,30.8,69.2,12:20,11:56,0,0,-0.4,4,75.0
,823,Tom Wilson\wilsoto01,25,WSH,RW,47,579,546,51.5,-1.2,421,404,51.0,-1.9,13.6,86.3,99.9,49.7,50.3,18:09,14:12,17,28,4.7,168,61.9
,824,Luke Witkowski\witkolu01,29,TBL,D,12,63,104,37.7,-14.0,47,82,36.4,-13.4,8.1,90.0,98.1,51.2,48.8,8:48,8:25,2,2,-3.1,13,76.9
,825,Miles Wood\woodmi01,24,NJD,LW,47,417,511,44.9,-2.9,306,377,44.8,-3.9,7.8,87.6,95.4,41.1,58.9,12:26,11:53,11,17,-4.1,154,61.0
,826,Kailer Yamamoto\yamamka01,21,EDM,RW,7,89,106,45.6,-0.8,66,81,44.9,-2.3,17.4,94.3,111.7,48.1,51.9,15:30,15:19,3,1,-1.5,16,56.3
,827,Keith Yandle\yandlke01,33,FLA,D,46,606,635,48.8,-1.6,449,482,48.2,-3.0,12.0,89.8,101.9,58.7,41.3,20:16,16:13,14,44,0.3,203,46.8
,828,Danil Yurtaykin\yurtada01,22,SJS,F,4,38,30,55.9,7.3,29,25,53.7,7.4,5.0,88.2,93.2,57.7,42.3,12:54,10:53,2,0,-0.3,8,25.0
,829,Pavel Zacha\zachapa01,22,NJD,C,43,360,454,44.2,-3.8,277,331,45.6,-2.9,12.0,84.0,96.0,47.2,52.8,15:45,12:01,17,20,-7.5,82,67.1
,830,Filip Zadina\zadinfi01,20,DET,RW,23,180,205,46.8,0.9,138,159,46.5,0.4,7.0,89.1,96.1,51.6,48.4,14:28,11:46,11,15,-1.1,80,58.8
,831,Nikita Zadorov\zadorni01,24,COL,D,43,553,561,49.6,-2.2,398,391,50.4,-0.6,10.2,90.4,100.6,46.2,53.8,18:35,16:00,19,28,-2.6,109,40.4
,832,Nikita Zaitsev\zaitsni01,28,OTT,D,34,444,617,41.8,-9.0,327,447,42.2,-9.6,9.3,90.5,99.8,43.6,56.4,22:13,18:50,12,22,-5.4,93,39.8
,833,Travis Zajac\zajactr01,34,NJD,C,47,470,529,47.0,-0.2,365,389,48.4,0.7,10.1,87.5,97.6,44.8,55.2,17:08,13:23,22,10,-2.2,83,57.8
,834,Mika Zibanejad\zibanmi01,26,NYR,C,33,389,417,48.3,3.5,296,320,48.1,2.6,12.2,88.5,100.7,48.2,51.8,21:17,14:32,24,24,-3.7,190,56.3
,835,Mats Zuccarello\zuccama01,32,MIN,LW,43,420,466,47.4,-2.6,312,345,47.5,-2.5,12.9,85.5,98.4,52.0,48.0,16:15,13:18,24,16,1.2,122,59.0
,836,Jason Zucker\zuckeja01,28,MIN,LW,37,364,410,47.0,-1.6,269,305,46.9,-1.6,14.4,85.8,100.2,47.3,52.7,16:16,13:18,19,11,2.1,98,64.3
,837,Valentin Zykov\zykovva01,24,VEG,LW,15,107,130,45.1,-8.7,74,104,41.6,-12.7,9.1,90.8,99.9,55.8,44.2,12:13,10:50,5,12,-1.6,31,61.3
